"459244251,2025-09-11T17:01:16Z,1404/06/20 20:31,Trader79,trader654321,twit,#وسکرمان سلام دوستان مجمع برگزار شد ولی کدال داخل صورتجلسه تصمیمات مجمع عدد و رقم ها همه صفر درج شده است. کسی اطلاع دارد چرا سود تقسیم شده قابل مشاهده نیست. یا کلا سود تقسیم نشده است."
"459244244,2025-09-11T17:00:50Z,1404/06/20 20:30,کربلایی محمود تک چشم ,professor1995,twit,#سصفها حضرات منتظره کدال سازمان در هفته آینده باشند و صف های وحشتناک خرید از زعفرانیه تا راه آهن ، سصفها تا آخر سال باید صد تومن را ببیند و‌این یعنی ۱۳ میلیارد تومن سود برای من در کم تر از یک سال سهامداری ، با سصفها بازنشست شوید"
"459244225,2025-09-11T16:56:22Z,1404/06/20 20:26,Akbariklor,akbariklor,twit,#خودرو \nفقط با یک ثبت نام ساده با شماره تلفن وکد ملی 50واحد از واحد‌های صندوق ساحل هدیه بگیرید بمناسبت هفته وحدت تا شنبه فقط میتونی این هدیه بگیری\nhttps://app.firouzeh.com?referral_code=7UFZM\n"
"459244217,2025-09-11T16:55:35Z,1404/06/20 20:25,M b,mism23,twit,#فزر \n\nفزر  هفته قبل جزء بیشترین خروج پول حقیقی ها بوده \nچند روز تو فیلتر خروج پول بوده\n\nجهت اطلاع معیار خرید و فروش تون نباشه\n\nدر ضمن ایم عگس تبلیغ فماک نیست\nعکس رو از گروه فماک برداشتم\nدورش رو خط کشیده بودن  اینم برا دوستانی که میگن تبلغ فماک هست\n\n"
"459244214,2025-09-11T16:54:54Z,1404/06/20 20:24,Akbariklor,akbariklor,twit,#عیار \nیکی از صندوق هاییکه سود روزشمار بالاتر از سیستم بانکی میده  میده صندوق فیروزه هست\n\nمیتونید از طریق لینک زیر ثبت نام کنید و هر تعداد واحد که خواستید را خریداری کنید.\nhttps://app.firouzeh.com?referral_code=7UFZM\n\nفقط بعد از ورد لطفا اطلاعات خودتون رو تکمیل کنید\n\nمیتونید برای راحتی کار فیروزه کارت هم سفارش بدین و از امکانات اون استفاده کنید."
"459244206,2025-09-11T16:52:41Z,1404/06/20 20:22,مها,moha1357,quote,#خودرو \nالبته بد هم نشد\n۳۰ درصد قیمت سهم یکجا ریخت\nقرار نیست که این حجم پول را فقط کروز ببرد.\n\nهم گران شدن محصولات و هم کاهش چشمگیر قیمت سهم\n\nرای ، بسیار درخوری صادر شد\n\nشاید بهانه ای شود و با حمایت از سهم خودرو این مبلغ ناچیز از جامعه کسب حلال شود."
"459244161,2025-09-11T16:43:30Z,1404/06/20 20:13,Master,masterm.a.n,twit,#شفارا مدیرعامل پتروشیمی فارابی، نوزدهمین نمایشگاه بین‌المللی ایران‌پلاست، این رویداد را فرصتی ارزشمند برای ایجاد هم‌افزایی میان شرکت‌های داخلی و یافتن بازارهای جدید دانست.\nحسین تابش نژاد در گفتگو با خبرنگار نیپنا با اشاره به شرایط خاص کشور گفت: باید از شرکت ملی صنایع پتروشیمی قدردانی کرد که نمایشگاه را طبق تقویم از پیش تعیین‌شده برگزار کرد. همین تداوم و نظم در برگزاری باعث می‌شود هم‌افزایی خوبی بین شرکت‌های داخلی شکل بگیرد و فعالان صنعت بتوانند از فرصت‌های موجود استفاده کنند.\n\nتابش‌نژاد درباره دستاوردهای حضور فارابی در این نمایشگاه توضیح داد: ما در همان دو روز نخست نمایشگاه توانستیم مشتریان جدیدی برای محصولاتمان پیدا کنیم. حدود چهار تا پنج هزار تن محصول در انبار داشتیم که نزدیک به دو هزار تن آن به فروش رفت. این موضوع نشان داد که نمایشگاه ایران‌پلاست حتی در شرایط دشوار اقتصادی می‌تواند به رونق بازار و ایجاد ارتباطات تازه کمک کند.\n\nوی یکی دیگر از مزیت‌های نمایشگاه را گردهمایی مدیران عامل مجتمع‌های پتروشیمی عنوان کرد و گفت: نمایشگاه فرصت مغتنمی برای طرح و حل مسائل بین‌مجتمعی است. ما توانستیم در همین رویداد بخشی از مشکلات خوراکمان را با همکاری مجتمع‌های بوعلی، الکل و شازند برطرف کنیم. این نوع تعاملات که در فضای نمایشگاه به وجود می‌آید، در شرایط عادی به‌سختی ممکن است.\n\nمدیرعامل پتروشیمی فارابی همچنین به حمایت‌های اخیر شرکت ملی صنایع پتروشیمی اشاره کرد و افزود: دکتر عباس‌زاده در بازدید از غرفه فارابی قول مساعد دادند تا طرح‌های جدیدی که تعریف کرده‌ایم با سرعت بیشتری پیش برود. قرار شد مجوز سه طرح تازه بدون نیاز به طی کردن فرآیند طولانی اخذ مجوز گاز از وزارت نفت صادر شود. همین تسهیل‌گری می‌تواند به تحقق پروژه‌های فارابی نوین در سال آینده کمک کند.\n\nتابش‌نژاد در ادامه از ورود به بازارهای صادراتی تازه خبر داد و اظهار داشت: یکی از دستاوردهای مهم این نمایشگاه برای فارابی، کشف بازار جدیدی در حوزه صادرات بود. محصول دی‌او‌پی که تاکنون به دلیل محدودیت‌های زیست‌محیطی صادرات نداشت، اکنون فرصت حضور در بازار یکی از کشورهای همسایه را پیدا کرده و مذاکرات اولیه انجام شده است. امیدواریم امسال بتوانیم بخشی از این محصول را صادر کنیم.\n\nوی درباره عملکرد تولیدی شرکت نیز توضیحاتی ارائه داد و گفت:"
"459244150,2025-09-11T16:40:54Z,1404/06/20 20:10,ساز مخالف,cchiako,quote,#شاخص_بورس اول باید بریم ببینیم یک کیلوگرم اورانیوم چقدر انرژی دارد؟\nانرژی یک کیلوگرم اورانیوم معادل دو هزار و پانصد تُن زغال‌سنگ است.\nاگر یک کیلوگرم از ایزوتوپ اورانیوم-۲۳۵ را در نظر بگیریم، این مقدار به‌طور شگفت‌انگیزی حاوی هشتاد تِراژول انرژی است.\nبرای به‌دست‌آوردن همین مقدار انرژی از بنزین، باید حدود دو میلیون و دویست هزار لیتر بنزین بسوزانیم.\nاگر بخواهیم این انرژی را از هیدروژن تأمین کنیم، به پانصد و سی تُن هیدروژن نیاز داریم.\nقدرت تخریبی یک کیلوگرم اورانیوم-۲۳۵ برابر با نوزده هزار تُن تی‌اِن‌تی یا بیست و شش هزار تُن باروت است.\nانرژی موجود در تنها یک کیلوگرم اورانیوم-۲۳۵ برابر با انرژی ششصد میلیون باتری معمولی است.\nبرای تولید همین میزان انرژی از منابع تجدیدپذیر، نیاز به پنج میلیون پنل خورشیدی یک کیلوواتی داریم که هر کدام هشت ساعت نور خورشید مؤثر دریافت کنند.\nهمچنین، همین انرژی را می‌توان از طریق فعالیت سیزده هزار توربین بادی در یک روز تولید کرد.\n\nبا این اطلاعات میتونی تصمیم بگیری دنبال کدوم بری\nبه نظر من همشون ، خورشیدی ، بادی و هسته ای و ... "
"459244144,2025-09-11T16:40:14Z,1404/06/20 20:10,Fp,farhad4242,quote,ی طوری از سهم ختور حرف میزنی انگار بقیه سهم ها پنجاه درصد تو سودن یا رشد کردن ،\nکل بازار و کل سهام ها اوضاعشون داغونه."
"459244124,2025-09-11T16:36:24Z,1404/06/20 20:06,احسان,ehsanshariati,twit,#کقزوی یعنی معصوم تر از سهامداران کقزوی نداریم انصافا داریم کم کم به نفت میرسیم حقوقی بی ،پدر مادر، هیچی، ندارش..هر وقت سهم میخواد روند سعودی  بخودش بگیره با عرضه های زیاد نزدیک به ۸۰ میلیون برگ سهم روند رو سرکوب میکنه خدا ،خونتون رو خراب کنه که سرمایه سهامداران مظلوم رو به تاراج بردین...بی و،،جدان تر از حقوقی این سهم ندیدم والله"
