"459235979,2025-09-10T17:01:38Z,1404/06/19 20:31,سارامان🎭,carp,quote,خیلی هم شتاب زده عمل نکنید حداقل سهام جدید خرید نکنید تا اوضاع مشخص بشه پول های بزرگ سه شنبه فروختن و درآمد ثابت ها ورود پول داشتن"
"459235851,2025-09-10T16:51:09Z,1404/06/19 20:21,هژیر,hsja99,retwit,#شاخص_بورس آخرین تلاش عراقچی هم نتیجه نداد و‌میریم بسمت شیب اب"
"459235973,2025-09-10T17:01:30Z,1404/06/19 20:31,سیگنال,sahambaztir,twit,#شاخص_بورس \nتتر خسته هست،دلار نفس ندارن تا ۹۰تومن باید بریزه فعلا ریزشی خخخ"
"459235955,2025-09-10T16:59:52Z,1404/06/19 20:29,Rahmard021,mohamad1226,twit,#عیار فردا منفی 3تا منفی 5  و شاید بیشتر دور از انتظار نیست"
"459235947,2025-09-10T16:58:39Z,1404/06/19 20:28,سیگنال,sahambaztir,twit,#شاخص_بورس \nشهریور سبز این هفته داغ داغ به کار خودش ادامه میده،💚💚💚"
"459235936,2025-09-10T16:57:15Z,1404/06/19 20:27,سیگنال,sahambaztir,twit,بورس صعودی،شهریور سبز ادامه دارد"
"459235923,2025-09-10T16:56:34Z,1404/06/19 20:26,سیگنال,sahambaztir,twit,تتر تا ۹۰ تومان میریزه"
"459235910,2025-09-10T16:55:11Z,1404/06/19 20:25,هژیر,hsja99,twit,#شاخص_بورس حمله اسقاطیل به دوحه قطر \nرسانه‌های رسمی  رژیم اسقاطیل  اعلام کردند که حمله با هماهنگی آمریکا انجام گرفت و اسقاطئیل در این حمله از حریم هوایی چند کشور عربی استفاده کرد."
"459235895,2025-09-10T16:53:32Z,1404/06/19 20:23,سیگنال,sahambaztir,twit,اولیانوف: امروز موضوع ایران در شورای حکام آژانس بررسی شد؛ انتظار نمی‌رود تصمیمی اتخاذ شودl"
"459235887,2025-09-10T16:53:17Z,1404/06/19 20:23,حرف حق,yakamuz65,quote,ما عضو npt بوده و هستیم پس توافق و قراردادی قرار نیست به صورت مجدد بسته شود.\nدر چارچوب قراردادهای قبلی یک فهم مشترکی حاصل شده تا هر دو طرف به توافقات قبلی پایبند باشند. \nشما بیشتر از اسقاطیل دنبال ایجاد بدبینی و موج منفی در جامعه هستید.\n#خودرو"
